main,gyear,count_us,count_for,totpool_pre_14,totpool_pre_58,totpool_pre_9p,totpool_ind14,totpool_ind58,totpool_ind9p,totpool_ind912,totpool_ind1316,totpool_ind17p,totpool_ind1720,totpool_ind2124,totpool_ind25p,totpool_pre_ind14,totpool_pre_ind58,totpool_pre_ind9p,totpool_ind15,totpool_ind610,totpool_ind1115,totpool_ind16p,totpat_2070,totpat_2032,dispat_ger_2070,dispat_ger_2032,dispat_aus_2070,dispat_aus_2032,uspat_ger_2070,uspat_ger_2032,uspat_aus_2070,uspat_aus_2032,class_age,class_age2,pre1933_germanclass,treat_us,treat_int_us,treat_dis,treat_int_dis,treat_us_pre33,treat_int_us_pre33,treat_dis_pre33,treat_int_dis_pre33,treat_pre33,count_us_Wcit,count_for_Wcit
012,1961,92,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,125,15625,1,0,0,1,1,0,0,1,1,1,211,5
012,1962,132,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,126,15876,1,0,0,1,1,0,0,1,1,1,217,6
012,1963,115,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,127,16129,1,0,0,1,1,0,0,1,1,1,174,8
012,1964,66,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,128,16384,1,0,0,1,1,0,0,1,1,1,142,2
012,1965,72,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,129,16641,1,0,0,1,1,0,0,1,1,1,110,4
012,1966,115,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,130,16900,1,0,0,1,1,0,0,1,1,1,144,3
012,1967,108,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,131,17161,1,0,0,1,1,0,0,1,1,1,57,0
012,1968,63,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,132,17424,1,0,0,1,1,0,0,1,1,1,26,2
012,1969,79,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,133,17689,1,0,0,1,1,0,0,1,1,1,9,0
012,1970,55,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,134,17956,1,0,0,1,1,0,0,1,1,1,0,0
